ページ,カラム,科目情報,成績評価
23,LEFT,"科目ナンバー：（BA）MAN191J
経営総論（統一）
早川佐知子・鳥居陽介・森田広大
2単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
各分野33点満点（会計分野は34点満点）の定期試験100%で評価します。
＊対面クラスにおいては、分野ごとに定期試験受験の前提となる課題を出
題する場合があるので、各分野の教員の説明をしっかり確認すること。
＊対面クラスの定期試験は対面形式で実施します。"
23,RIGHT,"科目ナンバー：（BA）MAN196J
経営総論〔Ｍ〕
【特設】
石塚史樹・早川佐知子・平屋伸洋
2単位 1年次 春学期","８．成績評価の方法
オンラインクラス：各分野で出題される動画に関するクイズやリアクショ
ンペーパー等の提出やオンライン試験（経営分野33%、公共経営分野33％、
会計分野34％）で評価します。
＊オンラインクラスでの動画に関するクイズやリアクションペーパーは、分
野によって出題方法や成績評価対象とするかどうかなど、対応が異なる場合
があるので、各分野担当教員からの説明をしっかり確認すること。
＊オンラインクラスの定期試験はオンラインにて実施します。"
24,LEFT,"科目ナンバー：（BA）MAN191J
経営学（統一）
【2021年度以降入学者対象】
石塚史樹・宮田憲一・古川裕康・趙トウ基
2単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
オンラインテスト、課題レポート、試験などを合算して総合的に評価します。詳細は、秋学期開始の際に「シ
ラバスの補足」でお知らせします。"
24,RIGHT,"科目ナンバー：（BA）ACC191J
会計学（統一）
【2021年度以降入学者対象】
石津寿惠・千葉貴律・大槻晴海・
長野史麻・森光高大・浅野千鶴
2単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
成績は「第1回から第14回の確認テストの得点（満点130）／130」で換算して評価する。
なお、成績付与の条件として、確認テスト全 14 回中のうち11 回以上受験していることとす
る。ボーナス点の付与など、詳しくは第1回の授業で説明するので、必ず視聴すること。"
25,LEFT,"科目ナンバー：（BA）ACC191J
公共経営学（統一）
【2021年度以降入学者対象】
菊地端夫・小関隆志・石渡幹夫・
久保善慎・武藤桂一
2単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
定期試験（52％）、レポート（30％）、グループ・ディスカッション（18％）の
合計で成績評価します。"
25,RIGHT,該当なし,該当なし
26,LEFT,"科目ナンバー：（BA）ECN111J
近代経済学Ａ（統一）
三上真寛・鶴田靖人・栗田健一・山下裕歩
2単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
定期試験（50％）、レポート課題または小テスト等（50％）によ
り、上記目標の達成度を総合的に評価する。"
26,RIGHT,"科目ナンバー：（BA）ECN111J
近代経済学Ｂ（統一）
三上真寛・鶴田靖人・栗田健一・山下裕歩
2単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
定期試験（50％）、レポート課題または小テスト等（50％）によ
り、上記目標の達成度を総合的に評価する。"
27,LEFT,"科目ナンバー：（BA）ECN116J
近代経済学Ａ〔Ｍ〕 三上真寛
2単位 1年次 春学期","８．成績評価の方法
オンライン試験（50％）、レポート課題または小テスト等（50％）によ
り、上記目標の達成度を総合的に評価する。
※対面形式での試験は行わない。"
27,RIGHT,"科目ナンバー：（BA）ECN116J
近代経済学Ｂ〔Ｍ〕 三上真寛
2単位 1年次 秋学期","８．成績評価の方法
オンライン試験（50％）、レポート課題または小テスト等（50％）によ
り、上記目標の達成度を総合的に評価する。
※対面形式での試験は行わない。"
29,LEFT,"科目ナンバー：（BA）PHL111J
言語思想Ａ 岡部英男
2単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
試験の成績（70％）と出席・小テスト（30％）。小テスト（１回
６点）は5回予定。授業にまじめに取り組まなければ，出席しただけ
では，小テストはできません。小テストを遅れて提出することも可
能ですが減点します（1ヶ月以内は2点減点、それ以降は3点減点）。"
29,RIGHT,"科目ナンバー：（BA）PHL111J
言語思想Ｂ 岡部英男
2単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
試験の成績（70％）と出席・小テスト（30％）。小テスト（１回
６点）は5回予定。授業にまじめに取り組まなければ，出席しただけ
では，小テストはできません。小テストを遅れて提出することも可
能ですが減点します（1ヶ月以内は2点減点、それ以降は3点減点）。"
30,LEFT,"科目ナンバー：（BA）PHL111E
Social Thought 枝村祥平
2単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
*ReactionPaper3x14=42%
*FinalExam58%
*Extracredits"
31,LEFT,"科目ナンバー：（BA）PHL111J
倫理思想Ａ 宇田川尚人
2単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
毎回の課題の（Oh-Meiji上への）提出（40%）と学期末のレポートか試験（60%）で総合
的に成績を評価する。
試験かレポートかは学生の希望も考慮するが，受講者人数が80人以上になった場合は試験
になる可能性が高い。
３分の２以上の授業への参加と課題の提出を学期末レポート提出および期末試験受験の最
低条件とする。
＊ 毎回の課題提出は単なる出席調査ではないので，書かれた内容の理解度，適切な質問等
の度合いに応じて，－2～＋２点の間で平常点として加点してゆく。
＊ レポートまたは試験いずれでも50点以下は不合格とする。"
31,RIGHT,"科目ナンバー：（BA）PHL111J
倫理思想Ｂ 宇田川尚人
2単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
毎回の課題の（Oh-Meiji上への）提出（40%）と学期末のレポートか試験（60%）で総合
的に成績を評価する。
試験かレポートかは学生の希望も尊重するが，受講者人数が70人以上になった場合は試験
になる可能性が高い。
３分の２以上の授業への参加と課題の提出を学期末レポート提出および期末試験受験の最
低条件とする。
＊ 毎回の課題提出は単なる出席調査ではないので，書かれた内容の理解度，適切な質問等
の度合いに応じて，－2～＋２点の間で平常点として加点または減点してゆく。"
32,LEFT,"科目ナンバー：（BA）PHL111J
宗教思想 枝村祥平
2単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
・リアクションペーパー 3x14=42％
・期末テスト 58％
・ボーナスポイント課題あり"
32,RIGHT,"科目ナンバー：（BA）PHL311J
哲学基礎論 枝村祥平
2単位 3年次 春学期 駿河台キャンパス","８．成績評価の方法
・リアクションペーパー３x14=42％
・期末テスト58％
・ボーナスポイント課題あり"
33,LEFT,"科目ナンバー：（BA）PHL311J
哲学 枝村祥平
2単位 3年次 秋学期 駿河台キャンパス","８．成績評価の方法
・リアクションペーパー 3x14=42％
・期末テスト 58％
・ボーナスポイント課題あり"
34,LEFT,"科目ナンバー：（BA）MAT151J
数学Ａ 高澤陽太朗
2単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
各回の講義内に行うアクティビティ30%+各回に出題される講義
後の小レポート70%
期限締切後のレポート提出は原則評価しないことに注意。
4回以上の欠席者は成績評価対象外になります。"
34,RIGHT,"科目ナンバー：（BA）MAT151J
数学Ｂ 高澤陽太朗
2単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
各回の講義内に行うアクティビティ30%+各回に出題される講義
後の小レポート70%
期限締切後のレポート提出は原則評価しないことに注意。
4回以上の欠席者は成績評価対象外になります。"
35,LEFT,"科目ナンバー：（BA）MAT151J
数学Ａ 船越正太
2単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
定期試験（60％）と平常点（40％）により評価する。出席が授
業回数の3分の2に満たない者は単位の認定を受けることができな
い。"
35,RIGHT,"科目ナンバー：（BA）MAT151J
数学Ｂ 船越正太
2単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
定期試験（60％）と平常点（40％）により評価する。出席が授
業回数の3分の2に満たない者は単位の認定を受けることができな
い。"
36,LEFT,"科目ナンバー：（BA）STA111J
統計学Ａ 鶴田靖人
2単位 1年次 春学期 和泉キャンパス","８．成績評価の方法
期末試験（60%）、課題（40%）"
36,RIGHT,"科目ナンバー：（BA）STA111J
統計学Ｂ 鶴田靖人
2単位 1年次 秋学期 和泉キャンパス","８．成績評価の方法
期末試験（60%）、課題（40%）"
